序号,部门,工具,功能介绍,受众部门,权限申请指南,访问链接
28,Marketing,China Content Hub,一站式内容门户，实现内容储存、分发和生成的全链路能力。其中内容生成功能，通过人工智能自动产出文字、图片、social脚本等营销素材，与人工设计师共同生成素材。提升效率、降低成本。,市场，销售,"基础权限基于工作岗位统一配置，根据系统邮件分享的账号和密码，即可登录。第一次登录后，应修改密码。
如发现无权限，可申请：
Step 1 - Line manager 邮件审批，包含部门+所需权限
Step 2 - 将Line manager审批邮件转发给对应业务对接人elaine.liu@mdlz.com",https://contenthub.emdlz.com.cn/web/bi/stat/workbench
29,Marketing,CDP(Consumer Data Platform),整合亿滋消费者资产信息，并统一储存管理，打通全渠道数据构建完整用户视图，支撑个性化营销、复购转化与品类迭代的核心数据工具。,市场，电商,"CDP在前端有PowerBI看板，权限统一配置，无需登录直接可用，如发现无权限，可申请：
Step 1 - Line manager 邮件审批，包含部门+所需权限
Step 2 - 将Line manager审批邮件转发给对应业务对接人elaine.liu@mdlz.com",
30,Marketing,Media Operation System,媒体投放“一站式工作台”，覆盖洞察、规划、投放、追踪全链路，让预算分配、人群选择、下单采买和效果复盘都在一个系统里完成，每一分钱花得明白、效果看得见。,,,
31,MSC-Planning,AI FCST,是一款基于机器学习算法的智能需求预测模型工具。它通过整合历史数据、节假日因素等，生成高精度月度周度的SKU-Location需求预测，为供应链规划、库存管理与生产计划提供数据驱动的决策支持。,供应链DemandPlanning,,
32,MSC-Planning,Magic One,是一款每日焕新的电子看板，全方位整合供应量各环节关键数据。不仅涵盖 CFR、DIFC 等核心 KPI 与 KAI，还清晰呈现每日订单详情。同时，实时展示 SKU DIFC、库存状况及在途信息，让供应动态一目了然，高效辅助决策。,供应链，销售,如需权限需要发起申请，提供工号，岗位，部门，邮箱地址等信息给到Elaine.Cheng@mdlz.com,https://eda-uat.emdlz.com.cn/Index.html#/pbi21v/report/workspaceId=9b6fb942-d2b5-4071-b0d5-ead8f35abac7&reportId=9fe087d2-6a83-4ad5-9593-3106823f50ac&pnp=1&ismagicOne=1
33,MSC-Planning,MPS (Master Production Schedule) 主生产计划/供应计划-Weekly,是一款基于运筹优化模型求解周排产计划，功能在于将企业需求和工厂能力结合，平衡客户服务水平，库存管理和成本为平衡的。产品，产线和周维度的排产计划，确保供应之下，协调资源，确保生产与市场需求精准对接，提升供应链响应速度。,供应链SupplyPlanning,,
34,MSC-Planning,APS (Auto Production Scheduling),是一款基于运筹优化模型求解班次排产计划，结合周排产分配到工厂产线和机台能力结合，最有效优化成本和转产，满足上游系统的需求。确保工厂生产运行。,供应链PPIC,,
35,MSC-Planning,DPS,是一款用于执行调拨需求计划的运筹优化系统。结合库存，生产，需求和运输链路，工厂存储能力，分配SKU-RDC的调拨计划安排。同时最大优化运输成本，支持工厂直发到RDC的调拨计划。,供应链Planning，logops，manufactory,,
36,MSC-Planning,Dynamic Boundary,是一款基于预测波动，供应反应时间等历史学习的库存优化系统。在满足既定客户满意度目标情况下，结合每个产品的历史预测波动和反应时间，制定出SKU-LOCATION的安全库存值，作为供应计划中策略指南。,供应链Planning,,
37,MSC-Manufacture,SAP MTI (Manufacturing to Inventory),指导和管理 “从生产到仓库” 全流程的系统工具。它通过对原料入库、库存扫描、原料消耗与反冲、生产执行到产品入库的完整环节进行实时追踪与系统化驱动，实现基于计划的高效生产与库存补充，确保成品稳定、准确地流入仓库。,SAP PPIC＆Cost controller,,
38,MSC-Manufacture,WFM (Workforce Management),是一套用于优化企业人力配置与成本控制的核心管理工具。它通过集成考勤跟踪、智能排班与精准工时核算三大功能，实现对员工工作周期的全面数字化管理，旨在提升劳动力效率、确保合规性并有效控制人工成本。,供应链POC/PL,,
39,MSC-Manufacture,0 Carbon Park,0碳工厂智慧园区系统是一个集成了碳排放监测、访客管理、承包商管控与车辆调度于一体的综合性园区运营管理平台。该系统通过对园区内人员、活动与交通的全面数字化管理，实现碳足迹追踪与用能优化，助力园区达成精细化运营与零碳目标。,供应链HSE＆SCE,,https://5star.emdlz.com.cn/
40,MSC-Manufacture,e-Learning,是一站式在线学习与人才发展平台。它整合了线上课程、知识库共享、在线培训组织及技能认证等核心功能，为员工提供系统化的学习体验，提升技能水平。,供应链,,
41,MSC-Manufacture,,"是面向制造环节的数字化管理工具,该系统通过标准化数据接入与SQDCSM指标(安全、质量、交付、成本、可持续性、员工士气)的集成录入,实现制造全流程的可视化管控,并借助电子看板推动标准化作业与实时绩效管理,为生产现场提供持续改进的数据基础。",,,
